vid,doc,placement,canary,deg,arm,render_key,png,sha256_16
d06_microfont_C6_clean,6,microfont,C6,clean,main,d06_microfont_C6,corpus/png/d06_microfont_C6_clean.png,e70fc10244055829
d07_body_C2_clean,7,body,C2,clean,main,d07_body_C2,corpus/png/d07_body_C2_clean.png,272577f3546beac8
d07_footer_C3_clean,7,footer,C3,clean,main,d07_footer_C3,corpus/png/d07_footer_C3_clean.png,f3667362a4585dfa
d07_margin_C4_clean,7,margin,C4,clean,main,d07_margin_C4,corpus/png/d07_margin_C4_clean.png,56b14d6d77505d70
d07_watermark_C5_clean,7,watermark,C5,clean,main,d07_watermark_C5,corpus/png/d07_watermark_C5_clean.png,46d4e67191c45879
d07_whiteonwhite_C6_clean,7,whiteonwhite,C6,clean,main,d07_whiteonwhite_C6,corpus/png/d07_whiteonwhite_C6_clean.png,a19fe883ac6a3a31
d07_microfont_C1_clean,7,microfont,C1,clean,main,d07_microfont_C1,corpus/png/d07_microfont_C1_clean.png,e1b8e7ca9d396170
d08_body_C3_clean,8,body,C3,clean,main,d08_body_C3,corpus/png/d08_body_C3_clean.png,52cd72d75aec3399
d08_footer_C4_clean,8,footer,C4,clean,main,d08_footer_C4,corpus/png/d08_footer_C4_clean.png,ed1d9fb830f822c5
d08_margin_C5_clean,8,margin,C5,clean,main,d08_margin_C5,corpus/png/d08_margin_C5_clean.png,cac4c59e43db13d4
d08_watermark_C6_clean,8,watermark,C6,clean,main,d08_watermark_C6,corpus/png/d08_watermark_C6_clean.png,ca81e16d7e12d47e
d08_whiteonwhite_C1_clean,8,whiteonwhite,C1,clean,main,d08_whiteonwhite_C1,corpus/png/d08_whiteonwhite_C1_clean.png,b872696eeab132e8
d08_microfont_C2_clean,8,microfont,C2,clean,main,d08_microfont_C2,corpus/png/d08_microfont_C2_clean.png,4d7433d4b6f2f716
d09_body_C4_clean,9,body,C4,clean,main,d09_body_C4,corpus/png/d09_body_C4_clean.png,3b9e21cc36056bf6
d09_footer_C5_clean,9,footer,C5,clean,main,d09_footer_C5,corpus/png/d09_footer_C5_clean.png,cc7041b25421c9fc
d09_margin_C6_clean,9,margin,C6,clean,main,d09_margin_C6,corpus/png/d09_margin_C6_clean.png,820c549c4f3d40e0
d09_watermark_C1_clean,9,watermark,C1,clean,main,d09_watermark_C1,corpus/png/d09_watermark_C1_clean.png,35fafa45ab0e7548
d09_whiteonwhite_C2_clean,9,whiteonwhite,C2,clean,main,d09_whiteonwhite_C2,corpus/png/d09_whiteonwhite_C2_clean.png,0f0a37ccf51e398d
d09_microfont_C3_clean,9,microfont,C3,clean,main,d09_microfont_C3,corpus/png/d09_microfont_C3_clean.png,6c9a8932ba1f63b3
d10_body_C5_clean,10,body,C5,clean,main,d10_body_C5,corpus/png/d10_body_C5_clean.png,d0ce904723133600
d10_footer_C6_clean,10,footer,C6,clean,main,d10_footer_C6,corpus/png/d10_footer_C6_clean.png,ce6ede7efbd403b6
d10_margin_C1_clean,10,margin,C1,clean,main,d10_margin_C1,corpus/png/d10_margin_C1_clean.png,0ccd1fabd1f1676d
d10_watermark_C2_clean,10,watermark,C2,clean,main,d10_watermark_C2,corpus/png/d10_watermark_C2_clean.png,b6b68cd92bb6edb8
d10_whiteonwhite_C3_clean,10,whiteonwhite,C3,clean,main,d10_whiteonwhite_C3,corpus/png/d10_whiteonwhite_C3_clean.png,99b6fbdf2c1ce578
d10_microfont_C4_clean,10,microfont,C4,clean,main,d10_microfont_C4,corpus/png/d10_microfont_C4_clean.png,166e2d27b513a006
d11_body_C6_clean,11,body,C6,clean,main,d11_body_C6,corpus/png/d11_body_C6_clean.png,0bb1bf80ff80aa84
d11_footer_C1_clean,11,footer,C1,clean,main,d11_footer_C1,corpus/png/d11_footer_C1_clean.png,e9c21b17e869d956
d11_margin_C2_clean,11,margin,C2,clean,main,d11_margin_C2,corpus/png/d11_margin_C2_clean.png,95606408db50e29e
d11_watermark_C3_clean,11,watermark,C3,clean,main,d11_watermark_C3,corpus/png/d11_watermark_C3_clean.png,c9fd021813be8654
d11_whiteonwhite_C4_clean,11,whiteonwhite,C4,clean,main,d11_whiteonwhite_C4,corpus/png/d11_whiteonwhite_C4_clean.png,891b47161cdfb7b3
d11_microfont_C5_clean,11,microfont,C5,clean,main,d11_microfont_C5,corpus/png/d11_microfont_C5_clean.png,b76d414fd2b5be39
d12_body_C1_clean,12,body,C1,clean,main,d12_body_C1,corpus/png/d12_body_C1_clean.png,cfe21a62e7a5b5ff
d12_footer_C2_clean,12,footer,C2,clean,main,d12_footer_C2,corpus/png/d12_footer_C2_clean.png,0931b60a3f7145b3
d12_margin_C3_clean,12,margin,C3,clean,main,d12_margin_C3,corpus/png/d12_margin_C3_clean.png,0fb67bd3c4ad7c23
d12_watermark_C4_clean,12,watermark,C4,clean,main,d12_watermark_C4,corpus/png/d12_watermark_C4_clean.png,65d65a6b90f7287d
d12_whiteonwhite_C5_clean,12,whiteonwhite,C5,clean,main,d12_whiteonwhite_C5,corpus/png/d12_whiteonwhite_C5_clean.png,eb43da2c6b207b18
d12_microfont_C6_clean,12,microfont,C6,clean,main,d12_microfont_C6,corpus/png/d12_microfont_C6_clean.png,a249b0bd9f34d9d5
d13_body_C2_clean,13,body,C2,clean,main,d13_body_C2,corpus/png/d13_body_C2_clean.png,40f2c6ba2b72ffb2
d13_footer_C3_clean,13,footer,C3,clean,main,d13_footer_C3,corpus/png/d13_footer_C3_clean.png,2c5ed09d3b040a9e
d13_margin_C4_clean,13,margin,C4,clean,main,d13_margin_C4,corpus/png/d13_margin_C4_clean.png,07581e77ffd28495
d13_watermark_C5_clean,13,watermark,C5,clean,main,d13_watermark_C5,corpus/png/d13_watermark_C5_clean.png,10e637294e606bd6
d13_whiteonwhite_C6_clean,13,whiteonwhite,C6,clean,main,d13_whiteonwhite_C6,corpus/png/d13_whiteonwhite_C6_clean.png,bad09156823058ae
d13_microfont_C1_clean,13,microfont,C1,clean,main,d13_microfont_C1,corpus/png/d13_microfont_C1_clean.png,9925de6dcfbdd992
d14_body_C3_clean,14,body,C3,clean,main,d14_body_C3,corpus/png/d14_body_C3_clean.png,1718731149a65ce5
d14_footer_C4_clean,14,footer,C4,clean,main,d14_footer_C4,corpus/png/d14_footer_C4_clean.png,90d59ed52040930e
d14_margin_C5_clean,14,margin,C5,clean,main,d14_margin_C5,corpus/png/d14_margin_C5_clean.png,37eb169d76246009
d14_watermark_C6_clean,14,watermark,C6,clean,main,d14_watermark_C6,corpus/png/d14_watermark_C6_clean.png,fdc3e36d945fc964
d14_whiteonwhite_C1_clean,14,whiteonwhite,C1,clean,main,d14_whiteonwhite_C1,corpus/png/d14_whiteonwhite_C1_clean.png,04a41677845608ed
d14_microfont_C2_clean,14,microfont,C2,clean,main,d14_microfont_C2,corpus/png/d14_microfont_C2_clean.png,d75992bc787bf890
d15_body_C4_clean,15,body,C4,clean,main,d15_body_C4,corpus/png/d15_body_C4_clean.png,12956832301b8bc5
d15_footer_C5_clean,15,footer,C5,clean,main,d15_footer_C5,corpus/png/d15_footer_C5_clean.png,6d36f201e5790e7d
d15_margin_C6_clean,15,margin,C6,clean,main,d15_margin_C6,corpus/png/d15_margin_C6_clean.png,9e24e337672bcd20
d15_watermark_C1_clean,15,watermark,C1,clean,main,d15_watermark_C1,corpus/png/d15_watermark_C1_clean.png,596f82f7d7010c7d
d15_whiteonwhite_C2_clean,15,whiteonwhite,C2,clean,main,d15_whiteonwhite_C2,corpus/png/d15_whiteonwhite_C2_clean.png,15755f3635298210
d15_microfont_C3_clean,15,microfont,C3,clean,main,d15_microfont_C3,corpus/png/d15_microfont_C3_clean.png,35c7c28ea07fac6b
d16_body_C5_clean,16,body,C5,clean,main,d16_body_C5,corpus/png/d16_body_C5_clean.png,94640308746292ce
d16_footer_C6_clean,16,footer,C6,clean,main,d16_footer_C6,corpus/png/d16_footer_C6_clean.png,5836122549d56fed
d16_margin_C1_clean,16,margin,C1,clean,main,d16_margin_C1,corpus/png/d16_margin_C1_clean.png,bf4ce3e83de34c7d
d16_watermark_C2_clean,16,watermark,C2,clean,main,d16_watermark_C2,corpus/png/d16_watermark_C2_clean.png,868ef2818f25972a
d16_whiteonwhite_C3_clean,16,whiteonwhite,C3,clean,main,d16_whiteonwhite_C3,corpus/png/d16_whiteonwhite_C3_clean.png,1752ae48bf80ddb4
d16_microfont_C4_clean,16,microfont,C4,clean,main,d16_microfont_C4,corpus/png/d16_microfont_C4_clean.png,6cea6b8ead411a92
d17_body_C6_clean,17,body,C6,clean,main,d17_body_C6,corpus/png/d17_body_C6_clean.png,0c8ad6f66e4b3ddd
d17_footer_C1_clean,17,footer,C1,clean,main,d17_footer_C1,corpus/png/d17_footer_C1_clean.png,112adceb478d34c0
d17_margin_C2_clean,17,margin,C2,clean,main,d17_margin_C2,corpus/png/d17_margin_C2_clean.png,d9e51177d5521fce
d17_watermark_C3_clean,17,watermark,C3,clean,main,d17_watermark_C3,corpus/png/d17_watermark_C3_clean.png,81b004d685176642
d17_whiteonwhite_C4_clean,17,whiteonwhite,C4,clean,main,d17_whiteonwhite_C4,corpus/png/d17_whiteonwhite_C4_clean.png,f4505ce280f4bab3
d17_microfont_C5_clean,17,microfont,C5,clean,main,d17_microfont_C5,corpus/png/d17_microfont_C5_clean.png,099521a81d0e984b
d18_body_C1_clean,18,body,C1,clean,main,d18_body_C1,corpus/png/d18_body_C1_clean.png,27e991ae2371742b
d18_footer_C2_clean,18,footer,C2,clean,main,d18_footer_C2,corpus/png/d18_footer_C2_clean.png,6cee0bf4fd0d02f9
d18_margin_C3_clean,18,margin,C3,clean,main,d18_margin_C3,corpus/png/d18_margin_C3_clean.png,8573b4d7659b6948
d18_watermark_C4_clean,18,watermark,C4,clean,main,d18_watermark_C4,corpus/png/d18_watermark_C4_clean.png,64146b893aae3071
d18_whiteonwhite_C5_clean,18,whiteonwhite,C5,clean,main,d18_whiteonwhite_C5,corpus/png/d18_whiteonwhite_C5_clean.png,5723451ce9227cdf
d18_microfont_C6_clean,18,microfont,C6,clean,main,d18_microfont_C6,corpus/png/d18_microfont_C6_clean.png,19cf43506314356f
d19_body_C2_clean,19,body,C2,clean,main,d19_body_C2,corpus/png/d19_body_C2_clean.png,b233698b249c7b47
d19_footer_C3_clean,19,footer,C3,clean,main,d19_footer_C3,corpus/png/d19_footer_C3_clean.png,662ca27c0a31639a
d19_margin_C4_clean,19,margin,C4,clean,main,d19_margin_C4,corpus/png/d19_margin_C4_clean.png,0e47441cf2260e55
d19_watermark_C5_clean,19,watermark,C5,clean,main,d19_watermark_C5,corpus/png/d19_watermark_C5_clean.png,956556b3e720008f
d19_whiteonwhite_C6_clean,19,whiteonwhite,C6,clean,main,d19_whiteonwhite_C6,corpus/png/d19_whiteonwhite_C6_clean.png,7e7e63d934b77929
d19_microfont_C1_clean,19,microfont,C1,clean,main,d19_microfont_C1,corpus/png/d19_microfont_C1_clean.png,0744e8486bec106d
d20_body_C3_clean,20,body,C3,clean,main,d20_body_C3,corpus/png/d20_body_C3_clean.png,cff0ee5614e0f458
d20_footer_C4_clean,20,footer,C4,clean,main,d20_footer_C4,corpus/png/d20_footer_C4_clean.png,39dbc900b27921ef
d20_margin_C5_clean,20,margin,C5,clean,main,d20_margin_C5,corpus/png/d20_margin_C5_clean.png,b5df76fa01869675
d20_watermark_C6_clean,20,watermark,C6,clean,main,d20_watermark_C6,corpus/png/d20_watermark_C6_clean.png,766c1af4017491bd
d20_whiteonwhite_C1_clean,20,whiteonwhite,C1,clean,main,d20_whiteonwhite_C1,corpus/png/d20_whiteonwhite_C1_clean.png,9bab1aedf270808f
d20_microfont_C2_clean,20,microfont,C2,clean,main,d20_microfont_C2,corpus/png/d20_microfont_C2_clean.png,1c1c22c910fae5a3
d21_body_C4_clean,21,body,C4,clean,main,d21_body_C4,corpus/png/d21_body_C4_clean.png,fbdfc7bc679f5d27
d21_footer_C5_clean,21,footer,C5,clean,main,d21_footer_C5,corpus/png/d21_footer_C5_clean.png,bfb51117d061a937
d21_margin_C6_clean,21,margin,C6,clean,main,d21_margin_C6,corpus/png/d21_margin_C6_clean.png,34c2f53a91271c83
d21_watermark_C1_clean,21,watermark,C1,clean,main,d21_watermark_C1,corpus/png/d21_watermark_C1_clean.png,ef74b85cfe038b61
d21_whiteonwhite_C2_clean,21,whiteonwhite,C2,clean,main,d21_whiteonwhite_C2,corpus/png/d21_whiteonwhite_C2_clean.png,cb105163c1dd0c38
d21_microfont_C3_clean,21,microfont,C3,clean,main,d21_microfont_C3,corpus/png/d21_microfont_C3_clean.png,9cbcdb7286224c2b
d22_body_C5_clean,22,body,C5,clean,main,d22_body_C5,corpus/png/d22_body_C5_clean.png,150e64f7c3dbcfe5
d22_footer_C6_clean,22,footer,C6,clean,main,d22_footer_C6,corpus/png/d22_footer_C6_clean.png,954c65eb28004016
d22_margin_C1_clean,22,margin,C1,clean,main,d22_margin_C1,corpus/png/d22_margin_C1_clean.png,9ec686c9cf801757
d22_watermark_C2_clean,22,watermark,C2,clean,main,d22_watermark_C2,corpus/png/d22_watermark_C2_clean.png,801a8d435d9ce713
d22_whiteonwhite_C3_clean,22,whiteonwhite,C3,clean,main,d22_whiteonwhite_C3,corpus/png/d22_whiteonwhite_C3_clean.png,507a4f7bef809c46
d22_microfont_C4_clean,22,microfont,C4,clean,main,d22_microfont_C4,corpus/png/d22_microfont_C4_clean.png,5f3e6731413296c0
d23_body_C6_clean,23,body,C6,clean,main,d23_body_C6,corpus/png/d23_body_C6_clean.png,3d3172bdb4359b83
d23_footer_C1_clean,23,footer,C1,clean,main,d23_footer_C1,corpus/png/d23_footer_C1_clean.png,b64b9abf850d2588
d23_margin_C2_clean,23,margin,C2,clean,main,d23_margin_C2,corpus/png/d23_margin_C2_clean.png,a20fad929b598962
d23_watermark_C3_clean,23,watermark,C3,clean,main,d23_watermark_C3,corpus/png/d23_watermark_C3_clean.png,e4cbe65341b68e63
d23_whiteonwhite_C4_clean,23,whiteonwhite,C4,clean,main,d23_whiteonwhite_C4,corpus/png/d23_whiteonwhite_C4_clean.png,e68a1004b2781b9f
d23_microfont_C5_clean,23,microfont,C5,clean,main,d23_microfont_C5,corpus/png/d23_microfont_C5_clean.png,63e67d1a9ee61e98
d24_body_C1_clean,24,body,C1,clean,main,d24_body_C1,corpus/png/d24_body_C1_clean.png,e19c9eb1677de48b
d24_footer_C2_clean,24,footer,C2,clean,main,d24_footer_C2,corpus/png/d24_footer_C2_clean.png,cc5e8031e7159427
d24_margin_C3_clean,24,margin,C3,clean,main,d24_margin_C3,corpus/png/d24_margin_C3_clean.png,f9e25f0476e62c32
d24_watermark_C4_clean,24,watermark,C4,clean,main,d24_watermark_C4,corpus/png/d24_watermark_C4_clean.png,042bdd61d2315b05
d24_whiteonwhite_C5_clean,24,whiteonwhite,C5,clean,main,d24_whiteonwhite_C5,corpus/png/d24_whiteonwhite_C5_clean.png,bdad61621d2fb6fc
d24_microfont_C6_clean,24,microfont,C6,clean,main,d24_microfont_C6,corpus/png/d24_microfont_C6_clean.png,a27bceeb5bd15878
d25_body_C2_clean,25,body,C2,clean,main,d25_body_C2,corpus/png/d25_body_C2_clean.png,a19eda91e558497d
d25_footer_C3_clean,25,footer,C3,clean,main,d25_footer_C3,corpus/png/d25_footer_C3_clean.png,2a933bc98e26a18a
d25_margin_C4_clean,25,margin,C4,clean,main,d25_margin_C4,corpus/png/d25_margin_C4_clean.png,37f6a23d548e2b0e
d25_watermark_C5_clean,25,watermark,C5,clean,main,d25_watermark_C5,corpus/png/d25_watermark_C5_clean.png,c0331294322564c2
d25_whiteonwhite_C6_clean,25,whiteonwhite,C6,clean,main,d25_whiteonwhite_C6,corpus/png/d25_whiteonwhite_C6_clean.png,e837da70335ca21e
d25_microfont_C1_clean,25,microfont,C1,clean,main,d25_microfont_C1,corpus/png/d25_microfont_C1_clean.png,06a81ad99e6ca34b
d26_body_C3_clean,26,body,C3,clean,main,d26_body_C3,corpus/png/d26_body_C3_clean.png,3573115d293d8f5e
d26_footer_C4_clean,26,footer,C4,clean,main,d26_footer_C4,corpus/png/d26_footer_C4_clean.png,8f0b86ce34f333b9
d26_margin_C5_clean,26,margin,C5,clean,main,d26_margin_C5,corpus/png/d26_margin_C5_clean.png,d918bbb2625558d1
d26_watermark_C6_clean,26,watermark,C6,clean,main,d26_watermark_C6,corpus/png/d26_watermark_C6_clean.png,5a201f6fb65c6703
d26_whiteonwhite_C1_clean,26,whiteonwhite,C1,clean,main,d26_whiteonwhite_C1,corpus/png/d26_whiteonwhite_C1_clean.png,f48dbddc8ab9b295
d26_microfont_C2_clean,26,microfont,C2,clean,main,d26_microfont_C2,corpus/png/d26_microfont_C2_clean.png,78f152dd5fc676c9
d27_body_C4_clean,27,body,C4,clean,main,d27_body_C4,corpus/png/d27_body_C4_clean.png,bcacc8feea09579d
d27_footer_C5_clean,27,footer,C5,clean,main,d27_footer_C5,corpus/png/d27_footer_C5_clean.png,04956972094c4436
d27_margin_C6_clean,27,margin,C6,clean,main,d27_margin_C6,corpus/png/d27_margin_C6_clean.png,4c4a500f5a06c151
d27_watermark_C1_clean,27,watermark,C1,clean,main,d27_watermark_C1,corpus/png/d27_watermark_C1_clean.png,a1e1c6586639f63a
d27_whiteonwhite_C2_clean,27,whiteonwhite,C2,clean,main,d27_whiteonwhite_C2,corpus/png/d27_whiteonwhite_C2_clean.png,ae349ad6f5e26a69
d27_microfont_C3_clean,27,microfont,C3,clean,main,d27_microfont_C3,corpus/png/d27_microfont_C3_clean.png,2f24573325cb6718
d28_body_C5_clean,28,body,C5,clean,main,d28_body_C5,corpus/png/d28_body_C5_clean.png,a78547f623b44c23
d28_footer_C6_clean,28,footer,C6,clean,main,d28_footer_C6,corpus/png/d28_footer_C6_clean.png,7d7c2e7e73bf82ea
d28_margin_C1_clean,28,margin,C1,clean,main,d28_margin_C1,corpus/png/d28_margin_C1_clean.png,cc8ab0b150744038
d28_watermark_C2_clean,28,watermark,C2,clean,main,d28_watermark_C2,corpus/png/d28_watermark_C2_clean.png,240729a87fd7cd68
d28_whiteonwhite_C3_clean,28,whiteonwhite,C3,clean,main,d28_whiteonwhite_C3,corpus/png/d28_whiteonwhite_C3_clean.png,7c5b8e645b9b458f
d28_microfont_C4_clean,28,microfont,C4,clean,main,d28_microfont_C4,corpus/png/d28_microfont_C4_clean.png,d3e4882b99399acf
d29_body_C6_clean,29,body,C6,clean,main,d29_body_C6,corpus/png/d29_body_C6_clean.png,515f7c07f54093e2
d29_footer_C1_clean,29,footer,C1,clean,main,d29_footer_C1,corpus/png/d29_footer_C1_clean.png,c05b958a5c10ce91
d29_margin_C2_clean,29,margin,C2,clean,main,d29_margin_C2,corpus/png/d29_margin_C2_clean.png,4d912ca5f08d73bf
d29_watermark_C3_clean,29,watermark,C3,clean,main,d29_watermark_C3,corpus/png/d29_watermark_C3_clean.png,139c8fed42944ee4
d29_whiteonwhite_C4_clean,29,whiteonwhite,C4,clean,main,d29_whiteonwhite_C4,corpus/png/d29_whiteonwhite_C4_clean.png,c7a55cd0905e3513
d29_microfont_C5_clean,29,microfont,C5,clean,main,d29_microfont_C5,corpus/png/d29_microfont_C5_clean.png,1c4c3b0c0fc34670
d30_body_C1_clean,30,body,C1,clean,main,d30_body_C1,corpus/png/d30_body_C1_clean.png,360b62bd34a705ab
d30_footer_C2_clean,30,footer,C2,clean,main,d30_footer_C2,corpus/png/d30_footer_C2_clean.png,697ca5ebb5b84a87
d30_margin_C3_clean,30,margin,C3,clean,main,d30_margin_C3,corpus/png/d30_margin_C3_clean.png,287b92ace9f9caaa
d30_watermark_C4_clean,30,watermark,C4,clean,main,d30_watermark_C4,corpus/png/d30_watermark_C4_clean.png,c9aebddc01daf48d
d30_whiteonwhite_C5_clean,30,whiteonwhite,C5,clean,main,d30_whiteonwhite_C5,corpus/png/d30_whiteonwhite_C5_clean.png,ad0c9d652d39dd4c
d30_microfont_C6_clean,30,microfont,C6,clean,main,d30_microfont_C6,corpus/png/d30_microfont_C6_clean.png,2a86c23a803c4df3
d31_body_C2_clean,31,body,C2,clean,main,d31_body_C2,corpus/png/d31_body_C2_clean.png,80c8ae3def668c09
d31_footer_C3_clean,31,footer,C3,clean,main,d31_footer_C3,corpus/png/d31_footer_C3_clean.png,89cbb336fd7b940a
d31_margin_C4_clean,31,margin,C4,clean,main,d31_margin_C4,corpus/png/d31_margin_C4_clean.png,6685d734dbdf0b73
d31_watermark_C5_clean,31,watermark,C5,clean,main,d31_watermark_C5,corpus/png/d31_watermark_C5_clean.png,b7380f138db34bc0
d31_whiteonwhite_C6_clean,31,whiteonwhite,C6,clean,main,d31_whiteonwhite_C6,corpus/png/d31_whiteonwhite_C6_clean.png,bebd649c04096705
d31_microfont_C1_clean,31,microfont,C1,clean,main,d31_microfont_C1,corpus/png/d31_microfont_C1_clean.png,c7b678b76a1e6da3
d32_body_C3_clean,32,body,C3,clean,main,d32_body_C3,corpus/png/d32_body_C3_clean.png,18a721c87aadc775
d32_footer_C4_clean,32,footer,C4,clean,main,d32_footer_C4,corpus/png/d32_footer_C4_clean.png,b83b2512d88008e1
d32_margin_C5_clean,32,margin,C5,clean,main,d32_margin_C5,corpus/png/d32_margin_C5_clean.png,0a3e1630e746f356
d32_watermark_C6_clean,32,watermark,C6,clean,main,d32_watermark_C6,corpus/png/d32_watermark_C6_clean.png,0c2b5da5e36f9ca2
d32_whiteonwhite_C1_clean,32,whiteonwhite,C1,clean,main,d32_whiteonwhite_C1,corpus/png/d32_whiteonwhite_C1_clean.png,446b92a4dab2a992
d32_microfont_C2_clean,32,microfont,C2,clean,main,d32_microfont_C2,corpus/png/d32_microfont_C2_clean.png,09ba24aa56ba962a
d33_body_C4_clean,33,body,C4,clean,main,d33_body_C4,corpus/png/d33_body_C4_clean.png,0e2cfcfebc471ea4
d33_footer_C5_clean,33,footer,C5,clean,main,d33_footer_C5,corpus/png/d33_footer_C5_clean.png,864343430d19f661
